Game ,5680000, mean_rew of 2655 finished g. ,-1.0625, of random ,-8.0868, corr_moves[max:17] ,12.94, mean_rew ,-47.5,   0:23:00.765908,playing t=10.06, lr=[0.01], batch=159120
Game ,5840000, mean_rew of 2653 finished g. ,-0.84056, of random ,-8.0514, corr_moves[max:17] ,12.92, mean_rew ,-47.4,   0:23:40.047702,playing t=10.11, lr=[0.01], batch=159120
Game ,6000000, mean_rew of 2581 finished g. ,-1.0364, of random ,-8.0749, corr_moves[max:17] ,12.78, mean_rew ,-48.9,   0:24:19.220756,playing t=9.97, lr=[0.01], batch=159120
Game ,6160000, mean_rew of 2615 finished g. ,-0.78279, of random ,-8.148, corr_moves[max:17] ,12.85, mean_rew ,-48.1,   0:24:58.139067,playing t=10.07, lr=[0.01], batch=159120
Game ,6320000, mean_rew of 2630 finished g. ,-0.94183, of random ,-8.0866, corr_moves[max:17] ,12.92, mean_rew ,-47.9,   0:25:37.164075,playing t=10.04, lr=[0.01], batch=159120
Game ,6480000, mean_rew of 2645 finished g. ,-0.95766, of random ,-8.1319, corr_moves[max:17] ,12.97, mean_rew ,-47.6,   0:26:16.002556,playing t=10.11, lr=[0.01], batch=159120
Game ,6640000, mean_rew of 2623 finished g. ,-0.92413, of random ,-8.0801, corr_moves[max:17] ,12.86, mean_rew ,-48.0,   0:26:55.069872,playing t=9.97, lr=[0.01], batch=159120
Game ,6800000, mean_rew of 2595 finished g. ,-0.87977, of random ,-8.0952, corr_moves[max:17] ,12.8, mean_rew ,-48.6,   0:27:34.041151,playing t=10.03, lr=[0.01], batch=159120
Game ,6960000, mean_rew of 2649 finished g. ,-0.99773, of random ,-8.1105, corr_moves[max:17] ,12.85, mean_rew ,-47.5,   0:28:12.861018,playing t=10.03, lr=[0.01], batch=159120
Game ,7120000, mean_rew of 2669 finished g. ,-0.99026, of random ,-8.0355, corr_moves[max:17] ,12.94, mean_rew ,-47.1,   0:28:51.857125,playing t=10.04, lr=[0.01], batch=159120
Game ,7280000, mean_rew of 2611 finished g. ,-0.92225, of random ,-8.1235, corr_moves[max:17] ,12.77, mean_rew ,-48.3,   0:29:30.831589,playing t=10.02, lr=[0.01], batch=159120
Game ,7440000, mean_rew of 2657 finished g. ,-1.0151, of random ,-8.044, corr_moves[max:17] ,12.92, mean_rew ,-47.4,   0:30:10.128069,playing t=10.1, lr=[0.01], batch=159120
Game ,7600000, mean_rew of 2635 finished g. ,-0.94535, of random ,-8.072, corr_moves[max:17] ,12.99, mean_rew ,-47.8,   0:30:49.332343,playing t=10.02, lr=[0.01], batch=159120
Game ,7760000, mean_rew of 2608 finished g. ,-1.0111, of random ,-8.1254, corr_moves[max:17] ,12.84, mean_rew ,-48.4,   0:31:28.362098,playing t=10.07, lr=[0.01], batch=159120
Game ,7920000, mean_rew of 2569 finished g. ,-0.91865, of random ,-8.0876, corr_moves[max:17] ,12.79, mean_rew ,-49.1,   0:32:07.390486,playing t=9.96, lr=[0.01], batch=159120
Game ,8080000, mean_rew of 2588 finished g. ,-0.93122, of random ,-8.0031, corr_moves[max:17] ,12.78, mean_rew ,-48.7,   0:32:46.311588,playing t=10.09, lr=[0.01], batch=159120
Game ,8240000, mean_rew of 2636 finished g. ,-0.83384, of random ,-8.1688, corr_moves[max:17] ,12.91, mean_rew ,-47.7,   0:33:25.485864,playing t=9.99, lr=[0.01], batch=159120
Game ,8400000, mean_rew of 2599 finished g. ,-0.8838, of random ,-8.0864, corr_moves[max:17] ,12.8, mean_rew ,-48.5,   0:34:04.514691,playing t=9.94, lr=[0.01], batch=159120
Game ,8560000, mean_rew of 2611 finished g. ,-1.0525, of random ,-7.9577, corr_moves[max:17] ,12.81, mean_rew ,-48.3,   0:34:43.376828,playing t=9.95, lr=[0.01], batch=159120
Game ,8720000, mean_rew of 2632 finished g. ,-0.94795, of random ,-8.1508, corr_moves[max:17] ,12.83, mean_rew ,-47.9,   0:35:22.664320,playing t=10.04, lr=[0.01], batch=159120
Game ,8880000, mean_rew of 2535 finished g. ,-0.90178, of random ,-8.1293, corr_moves[max:17] ,12.78, mean_rew ,-49.8,   0:36:01.757508,playing t=9.91, lr=[0.01], batch=159120
Game ,9040000, mean_rew of 2581 finished g. ,-1.0418, of random ,-8.0444, corr_moves[max:17] ,12.74, mean_rew ,-48.9,   0:36:40.812330,playing t=10.07, lr=[0.01], batch=159120
Game ,9200000, mean_rew of 2631 finished g. ,-0.84227, of random ,-8.1202, corr_moves[max:17] ,12.87, mean_rew ,-47.8,   0:37:19.852030,playing t=10.04, lr=[0.01], batch=159120
Game ,9360000, mean_rew of 2656 finished g. ,-0.89495, of random ,-8.1682, corr_moves[max:17] ,12.84, mean_rew ,-47.4,   0:37:58.625012,playing t=9.86, lr=[0.01], batch=159120
Game ,9520000, mean_rew of 2579 finished g. ,-0.79139, of random ,-8.1238, corr_moves[max:17] ,12.77, mean_rew ,-48.8,   0:38:37.578002,playing t=10.04, lr=[0.01], batch=159120
Game ,9680000, mean_rew of 2643 finished g. ,-1.0038, of random ,-8.0999, corr_moves[max:17] ,12.88, mean_rew ,-47.7,   0:39:16.293051,playing t=10.02, lr=[0.01], batch=159120
Game ,9840000, mean_rew of 2634 finished g. ,-0.90926, of random ,-8.0262, corr_moves[max:17] ,12.87, mean_rew ,-47.8,   0:39:55.194097,playing t=9.97, lr=[0.01], batch=159120
Game ,10000000, mean_rew of 2613 finished g. ,-0.95063, of random ,-8.0662, corr_moves[max:17] ,12.81, mean_rew ,-48.2,   0:40:34.241858,playing t=10.05, lr=[0.01], batch=159120
Game ,10160000, mean_rew of 2584 finished g. ,-0.91912, of random ,-8.1766, corr_moves[max:17] ,12.72, mean_rew ,-48.8,   0:41:12.952461,playing t=9.97, lr=[0.01], batch=159120
Game ,10320000, mean_rew of 2607 finished g. ,-0.87917, of random ,-8.1266, corr_moves[max:17] ,12.87, mean_rew ,-48.3,   0:41:52.053564,playing t=10.0, lr=[0.01], batch=159120
Game ,10480000, mean_rew of 2568 finished g. ,-1.0319, of random ,-8.0322, corr_moves[max:17] ,12.73, mean_rew ,-49.2,   0:42:31.233935,playing t=10.04, lr=[0.01], batch=159120
Game ,10640000, mean_rew of 2630 finished g. ,-0.94221, of random ,-8.1279, corr_moves[max:17] ,12.94, mean_rew ,-47.9,   0:43:10.409498,playing t=9.98, lr=[0.01], batch=159120
