Game ,0080000, mean_rew of 4048 finished g. ,-2.1527, of random ,-7.6298, corr_moves[max:17] ,15.78, mean_rew ,-20.8,   0:00:26.691927,playing t=12.95, lr=[0.001], batch=79851
Game ,0240300, mean_rew of 4348 finished g. ,-2.2413, of random ,-7.6407, corr_moves[max:17] ,15.96, mean_rew ,-15.0,   0:01:06.488429,playing t=9.86, lr=[0.001], batch=159696
Game ,0401000, mean_rew of 4561 finished g. ,-2.4212, of random ,-7.5491, corr_moves[max:17] ,16.19, mean_rew ,-11.0,   0:01:46.876608,playing t=9.84, lr=[0.001], batch=160152
Game ,0562100, mean_rew of 4700 finished g. ,-2.5498, of random ,-7.5347, corr_moves[max:17] ,16.43, mean_rew ,-8.4,   0:02:27.317233,playing t=9.87, lr=[0.001], batch=160360
Game ,0723600, mean_rew of 4772 finished g. ,-2.3024, of random ,-7.5718, corr_moves[max:17] ,16.54, mean_rew ,-6.76,   0:03:06.247503,playing t=9.67, lr=[0.001], batch=160838
Game ,0885500, mean_rew of 4787 finished g. ,-2.3039, of random ,-7.6513, corr_moves[max:17] ,16.54, mean_rew ,-6.47,   0:03:45.480073,playing t=9.67, lr=[0.001], batch=161153
Game ,1047800, mean_rew of 4817 finished g. ,-2.2991, of random ,-7.6069, corr_moves[max:17] ,16.61, mean_rew ,-5.88,   0:04:24.490501,playing t=9.67, lr=[0.001], batch=161832
Game ,1210500, mean_rew of 4850 finished g. ,-2.4021, of random ,-7.6137, corr_moves[max:17] ,16.68, mean_rew ,-5.33,   0:05:03.780901,playing t=9.71, lr=[0.001], batch=162249
Game ,1373600, mean_rew of 4842 finished g. ,-2.2272, of random ,-7.6349, corr_moves[max:17] ,16.65, mean_rew ,-5.32,   0:05:43.209221,playing t=9.74, lr=[0.001], batch=162289
Game ,1537100, mean_rew of 4851 finished g. ,-2.1101, of random ,-7.6603, corr_moves[max:17] ,16.66, mean_rew ,-5.03,   0:06:22.692910,playing t=9.67, lr=[0.001], batch=162807
Game ,1701000, mean_rew of 4871 finished g. ,-1.9532, of random ,-7.7513, corr_moves[max:17] ,16.72, mean_rew ,-4.48,   0:07:02.107997,playing t=9.78, lr=[0.001], batch=163215
Game ,1865300, mean_rew of 4867 finished g. ,-1.9014, of random ,-7.7549, corr_moves[max:17] ,16.71, mean_rew ,-4.51,   0:07:41.596297,playing t=9.73, lr=[0.001], batch=163568
Game ,2030000, mean_rew of 4878 finished g. ,-1.9551, of random ,-7.7679, corr_moves[max:17] ,16.74, mean_rew ,-4.35,   0:08:21.102943,playing t=9.87, lr=[0.001], batch=163952
Game ,2195100, mean_rew of 4887 finished g. ,-2.0614, of random ,-7.7756, corr_moves[max:17] ,16.75, mean_rew ,-4.27,   0:09:00.789084,playing t=9.81, lr=[0.001], batch=164527
Game ,2360600, mean_rew of 4859 finished g. ,-1.7133, of random ,-7.8147, corr_moves[max:17] ,16.69, mean_rew ,-4.49,   0:09:40.887004,playing t=9.86, lr=[0.001], batch=164751
Game ,2526500, mean_rew of 4894 finished g. ,-1.7644, of random ,-7.85, corr_moves[max:17] ,16.76, mean_rew ,-3.85,   0:10:20.863931,playing t=9.95, lr=[0.001], batch=165244
Game ,2692800, mean_rew of 4892 finished g. ,-1.7381, of random ,-7.8293, corr_moves[max:17] ,16.77, mean_rew ,-3.86,   0:11:00.756603,playing t=9.88, lr=[0.001], batch=165799
Game ,2859500, mean_rew of 4870 finished g. ,-1.6643, of random ,-7.837, corr_moves[max:17] ,16.72, mean_rew ,-4.22,   0:11:40.589542,playing t=9.92, lr=[0.001], batch=166021
Game ,3026600, mean_rew of 4893 finished g. ,-1.5293, of random ,-7.8984, corr_moves[max:17] ,16.77, mean_rew ,-3.64,   0:12:20.423655,playing t=9.92, lr=[0.001], batch=166428
Game ,3194100, mean_rew of 4887 finished g. ,-1.4803, of random ,-7.8982, corr_moves[max:17] ,16.75, mean_rew ,-3.71,   0:13:00.392756,playing t=9.98, lr=[0.001], batch=166886
Game ,3362000, mean_rew of 4883 finished g. ,-1.4981, of random ,-7.899, corr_moves[max:17] ,16.75, mean_rew ,-3.8,   0:13:40.980411,playing t=10.03, lr=[0.001], batch=167205
Game ,3530300, mean_rew of 4884 finished g. ,-1.4961, of random ,-7.9518, corr_moves[max:17] ,16.74, mean_rew ,-3.78,   0:14:21.422455,playing t=9.92, lr=[0.001], batch=167580
Game ,3699000, mean_rew of 4886 finished g. ,-1.3395, of random ,-7.9596, corr_moves[max:17] ,16.76, mean_rew ,-3.59,   0:15:02.051540,playing t=10.08, lr=[0.001], batch=167985
Game ,3868100, mean_rew of 4892 finished g. ,-1.3013, of random ,-8.0523, corr_moves[max:17] ,16.77, mean_rew ,-3.43,   0:15:42.563658,playing t=10.05, lr=[0.001], batch=168449
Game ,4037600, mean_rew of 4898 finished g. ,-1.2446, of random ,-8.0589, corr_moves[max:17] ,16.76, mean_rew ,-3.26,   0:16:22.923692,playing t=10.02, lr=[0.001], batch=168858
Game ,4207500, mean_rew of 4893 finished g. ,-1.2013, of random ,-8.0603, corr_moves[max:17] ,16.78, mean_rew ,-3.32,   0:17:03.703367,playing t=10.06, lr=[0.001], batch=169240
Game ,4377800, mean_rew of 4891 finished g. ,-1.202, of random ,-8.0549, corr_moves[max:17] ,16.78, mean_rew ,-3.36,   0:17:44.491384,playing t=10.16, lr=[0.001], batch=169604
Game ,4548500, mean_rew of 4882 finished g. ,-1.146, of random ,-8.0486, corr_moves[max:17] ,16.75, mean_rew ,-3.48,   0:18:25.116031,playing t=10.14, lr=[0.001], batch=170163
Game ,4719600, mean_rew of 4906 finished g. ,-1.2513, of random ,-8.0169, corr_moves[max:17] ,16.8, mean_rew ,-3.11,   0:19:06.071387,playing t=10.14, lr=[0.001], batch=170396
Game ,4891100, mean_rew of 4898 finished g. ,-1.1415, of random ,-8.0451, corr_moves[max:17] ,16.78, mean_rew ,-3.16,   0:19:46.588002,playing t=10.17, lr=[0.001], batch=170910
Game ,5063000, mean_rew of 4895 finished g. ,-1.1101, of random ,-8.0978, corr_moves[max:17] ,16.76, mean_rew ,-3.19,   0:20:27.800403,playing t=10.21, lr=[0.001], batch=171167
Game ,5235300, mean_rew of 4889 finished g. ,-1.0464, of random ,-8.1434, corr_moves[max:17] ,16.76, mean_rew ,-3.24,   0:21:08.988430,playing t=10.29, lr=[0.001], batch=171675
Game ,5408000, mean_rew of 4891 finished g. ,-1.1141, of random ,-8.0566, corr_moves[max:17] ,16.77, mean_rew ,-3.27,   0:21:49.892657,playing t=10.13, lr=[0.001], batch=172135
Game ,5581100, mean_rew of 4894 finished g. ,-0.97098, of random ,-8.1341, corr_moves[max:17] ,16.76, mean_rew ,-3.07,   0:22:30.949754,playing t=10.29, lr=[0.001], batch=172408
Game ,5754600, mean_rew of 4879 finished g. ,-1.0332, of random ,-8.1011, corr_moves[max:17] ,16.74, mean_rew ,-3.43,   0:23:12.344186,playing t=10.36, lr=[0.001], batch=172822
Game ,5928500, mean_rew of 4890 finished g. ,-0.97873, of random ,-8.1121, corr_moves[max:17] ,16.76, mean_rew ,-3.16,   0:23:53.510146,playing t=10.37, lr=[0.001], batch=173170
