Game ,0080000, mean_rew of 1522 finished g. ,-2.2378, of random ,-7.6551, corr_moves[max:17] ,12.84, mean_rew ,-70.2,   0:00:26.701535,playing t=13.58, lr=[0.005], batch=79853
Game ,0240000, mean_rew of 3238 finished g. ,-3.3783, of random ,-7.2541, corr_moves[max:17] ,14.75, mean_rew ,-37.4,   0:01:06.240218,playing t=9.57, lr=[0.005], batch=159509
Game ,0400000, mean_rew of 4083 finished g. ,-4.3047, of random ,-6.934, corr_moves[max:17] ,15.64, mean_rew ,-21.9,   0:01:46.347210,playing t=9.61, lr=[0.005], batch=159502
Game ,0560000, mean_rew of 4515 finished g. ,-4.6164, of random ,-6.8626, corr_moves[max:17] ,16.18, mean_rew ,-13.9,   0:02:26.793411,playing t=9.67, lr=[0.005], batch=159498
Game ,0720000, mean_rew of 4684 finished g. ,-4.3732, of random ,-6.9134, corr_moves[max:17] ,16.41, mean_rew ,-10.4,   0:03:07.420291,playing t=9.67, lr=[0.005], batch=159342
Game ,0880000, mean_rew of 4726 finished g. ,-4.3466, of random ,-6.9178, corr_moves[max:17] ,16.52, mean_rew ,-9.59,   0:03:48.309154,playing t=9.94, lr=[0.005], batch=159413
Game ,1040000, mean_rew of 4772 finished g. ,-4.153, of random ,-7.0023, corr_moves[max:17] ,16.62, mean_rew ,-8.52,   0:04:29.067463,playing t=9.82, lr=[0.005], batch=159303
Game ,1200000, mean_rew of 4787 finished g. ,-3.8699, of random ,-7.0359, corr_moves[max:17] ,16.63, mean_rew ,-7.96,   0:05:09.643093,playing t=9.73, lr=[0.005], batch=159282
Game ,1360000, mean_rew of 4760 finished g. ,-3.7471, of random ,-7.1036, corr_moves[max:17] ,16.55, mean_rew ,-8.37,   0:05:49.816270,playing t=9.85, lr=[0.005], batch=159402
Game ,1520000, mean_rew of 4774 finished g. ,-3.5783, of random ,-7.2154, corr_moves[max:17] ,16.59, mean_rew ,-7.94,   0:06:30.549614,playing t=9.77, lr=[0.005], batch=159240
Game ,1680000, mean_rew of 4777 finished g. ,-3.2788, of random ,-7.2903, corr_moves[max:17] ,16.59, mean_rew ,-7.59,   0:07:11.000567,playing t=9.96, lr=[0.005], batch=159259
Game ,1840000, mean_rew of 4736 finished g. ,-3.0874, of random ,-7.3775, corr_moves[max:17] ,16.57, mean_rew ,-8.2,   0:07:52.155712,playing t=9.92, lr=[0.005], batch=159246
Game ,2000000, mean_rew of 4730 finished g. ,-3.1214, of random ,-7.4018, corr_moves[max:17] ,16.52, mean_rew ,-8.35,   0:08:31.670456,playing t=9.48, lr=[0.005], batch=159388
Game ,2160000, mean_rew of 4771 finished g. ,-3.0006, of random ,-7.3326, corr_moves[max:17] ,16.6, mean_rew ,-7.44,   0:09:10.208773,playing t=9.52, lr=[0.005], batch=159347
Game ,2320000, mean_rew of 4722 finished g. ,-3.0286, of random ,-7.4466, corr_moves[max:17] ,16.55, mean_rew ,-8.42,   0:09:48.583711,playing t=9.34, lr=[0.005], batch=159353
Game ,2480000, mean_rew of 4758 finished g. ,-2.8535, of random ,-7.4577, corr_moves[max:17] ,16.59, mean_rew ,-7.56,   0:10:27.954143,playing t=9.9, lr=[0.005], batch=159396
Game ,2640000, mean_rew of 4762 finished g. ,-2.8257, of random ,-7.4964, corr_moves[max:17] ,16.58, mean_rew ,-7.45,   0:11:05.949518,playing t=9.38, lr=[0.005], batch=159387
Game ,2800000, mean_rew of 4790 finished g. ,-2.7132, of random ,-7.4937, corr_moves[max:17] ,16.63, mean_rew ,-6.8,   0:11:43.657599,playing t=9.29, lr=[0.005], batch=159304
Game ,2960000, mean_rew of 4748 finished g. ,-2.5067, of random ,-7.5785, corr_moves[max:17] ,16.58, mean_rew ,-7.42,   0:12:21.637440,playing t=9.37, lr=[0.005], batch=159303
Game ,3120000, mean_rew of 4730 finished g. ,-2.5144, of random ,-7.6021, corr_moves[max:17] ,16.5, mean_rew ,-7.78,   0:12:59.795775,playing t=9.29, lr=[0.005], batch=159431
Game ,3280000, mean_rew of 4742 finished g. ,-2.5439, of random ,-7.5804, corr_moves[max:17] ,16.55, mean_rew ,-7.57,   0:13:38.182514,playing t=9.47, lr=[0.005], batch=159403
Game ,3440000, mean_rew of 4747 finished g. ,-2.3687, of random ,-7.6141, corr_moves[max:17] ,16.54, mean_rew ,-7.31,   0:14:16.195965,playing t=9.4, lr=[0.005], batch=159460
Game ,3600000, mean_rew of 4740 finished g. ,-2.4757, of random ,-7.5866, corr_moves[max:17] ,16.55, mean_rew ,-7.55,   0:14:54.585865,playing t=9.46, lr=[0.005], batch=159397
Game ,3760000, mean_rew of 4735 finished g. ,-2.3278, of random ,-7.6986, corr_moves[max:17] ,16.53, mean_rew ,-7.5,   0:15:32.994629,playing t=9.42, lr=[0.005], batch=159321
Game ,3920000, mean_rew of 4692 finished g. ,-2.491, of random ,-7.5958, corr_moves[max:17] ,16.49, mean_rew ,-8.5,   0:16:11.013742,playing t=9.35, lr=[0.005], batch=159284
Game ,4080000, mean_rew of 4757 finished g. ,-2.2529, of random ,-7.6894, corr_moves[max:17] ,16.55, mean_rew ,-7.0,   0:16:49.316972,playing t=9.5, lr=[0.005], batch=159324
Game ,4240000, mean_rew of 4735 finished g. ,-2.3371, of random ,-7.6282, corr_moves[max:17] ,16.51, mean_rew ,-7.51,   0:17:27.707810,playing t=9.33, lr=[0.005], batch=159370
Game ,4400000, mean_rew of 4735 finished g. ,-2.2313, of random ,-7.6743, corr_moves[max:17] ,16.51, mean_rew ,-7.41,   0:18:05.779071,playing t=9.26, lr=[0.005], batch=159287
Game ,4560000, mean_rew of 4740 finished g. ,-2.0781, of random ,-7.7346, corr_moves[max:17] ,16.5, mean_rew ,-7.17,   0:18:44.041219,playing t=9.49, lr=[0.005], batch=159361
Game ,4720000, mean_rew of 4774 finished g. ,-2.1596, of random ,-7.7614, corr_moves[max:17] ,16.57, mean_rew ,-6.58,   0:19:22.579195,playing t=9.44, lr=[0.005], batch=159220
Game ,4880000, mean_rew of 4731 finished g. ,-2.1044, of random ,-7.7356, corr_moves[max:17] ,16.5, mean_rew ,-7.37,   0:20:00.798985,playing t=9.48, lr=[0.005], batch=159296
Game ,5040000, mean_rew of 4759 finished g. ,-1.9315, of random ,-7.7999, corr_moves[max:17] ,16.55, mean_rew ,-6.66,   0:20:38.873736,playing t=9.52, lr=[0.005], batch=159370
Game ,5200000, mean_rew of 4761 finished g. ,-1.942, of random ,-7.7788, corr_moves[max:17] ,16.58, mean_rew ,-6.63,   0:21:17.234111,playing t=9.47, lr=[0.005], batch=159257
Game ,5360000, mean_rew of 4729 finished g. ,-1.8372, of random ,-7.8027, corr_moves[max:17] ,16.52, mean_rew ,-7.16,   0:21:55.621114,playing t=9.36, lr=[0.005], batch=159338
Game ,5520000, mean_rew of 4724 finished g. ,-1.9884, of random ,-7.8175, corr_moves[max:17] ,16.5, mean_rew ,-7.4,   0:22:34.126975,playing t=9.49, lr=[0.005], batch=159489
Game ,5680000, mean_rew of 4759 finished g. ,-1.8124, of random ,-7.863, corr_moves[max:17] ,16.58, mean_rew ,-6.54,   0:23:12.468052,playing t=9.42, lr=[0.005], batch=159414
Game ,5840000, mean_rew of 4736 finished g. ,-1.9356, of random ,-7.8501, corr_moves[max:17] ,16.51, mean_rew ,-7.11,   0:23:50.859968,playing t=9.41, lr=[0.005], batch=159458
Game ,6000000, mean_rew of 4739 finished g. ,-1.8506, of random ,-7.8671, corr_moves[max:17] ,16.55, mean_rew ,-6.97,   0:24:29.426526,playing t=9.47, lr=[0.005], batch=159319
Game ,6160000, mean_rew of 4726 finished g. ,-1.8584, of random ,-7.8211, corr_moves[max:17] ,16.47, mean_rew ,-7.24,   0:25:07.789761,playing t=9.46, lr=[0.005], batch=159380
Game ,6320000, mean_rew of 4763 finished g. ,-1.6355, of random ,-7.9255, corr_moves[max:17] ,16.59, mean_rew ,-6.3,   0:25:46.187556,playing t=9.49, lr=[0.005], batch=159290
Game ,6480000, mean_rew of 4744 finished g. ,-1.6309, of random ,-7.9047, corr_moves[max:17] ,16.52, mean_rew ,-6.67,   0:26:24.786383,playing t=9.45, lr=[0.005], batch=159150
Game ,6640000, mean_rew of 4759 finished g. ,-1.7367, of random ,-7.9144, corr_moves[max:17] ,16.57, mean_rew ,-6.47,   0:27:03.090417,playing t=9.48, lr=[0.005], batch=159321
Game ,6800000, mean_rew of 4736 finished g. ,-1.8368, of random ,-7.8955, corr_moves[max:17] ,16.52, mean_rew ,-7.02,   0:27:41.459488,playing t=9.43, lr=[0.005], batch=159388
