Game ,0098000, reward ,-1.0, corr ,3.881, games_won ,[154.   0.   0.   0.], total ,-102.95,  Time ,0:03:32.795742,
Game ,0100000, reward ,-1.0, corr ,4.102, games_won ,[128.   0.   0.   0.], total ,-101.3,  Time ,0:03:38.855466,
Game ,0102000, reward ,-1.0, corr ,4.191, games_won ,[94.  0.  0.  0.], total ,-101.05,  Time ,0:03:44.950843,
Game ,0104000, reward ,-1.0, corr ,4.29, games_won ,[91.  0.  0.  0.], total ,-101.25,  Time ,0:03:51.034275,
Game ,0106000, reward ,-1.0, corr ,4.282, games_won ,[134.   0.   0.   0.], total ,-101.45,  Time ,0:03:57.063621,
Game ,0108000, reward ,-1.0, corr ,4.34, games_won ,[105.   0.   0.   0.], total ,-101.6,  Time ,0:04:03.323519,
Game ,0110000, reward ,-1.0, corr ,4.362, games_won ,[119.   0.   0.   0.], total ,-101.9,  Time ,0:04:09.616449,
Game ,0112000, reward ,-1.0, corr ,4.452, games_won ,[99.  0.  0.  0.], total ,-101.4,  Time ,0:04:15.880082,
Game ,0114000, reward ,-1.0, corr ,4.37, games_won ,[158.   0.   0.   0.], total ,-102.75,  Time ,0:04:22.025516,
Game ,0116000, reward ,-1.0, corr ,4.537, games_won ,[127.   0.   0.   0.], total ,-102.25,  Time ,0:04:28.567617,
Game ,0118000, reward ,-1.0, corr ,4.689, games_won ,[105.   0.   0.   0.], total ,-101.6,  Time ,0:04:35.126727,
Game ,0120000, reward ,-1.0, corr ,4.811, games_won ,[117.   0.   0.   0.], total ,-101.35,  Time ,0:04:41.971821,
Game ,0122000, reward ,-1.0, corr ,4.664, games_won ,[113.   0.   0.   0.], total ,-101.65,  Time ,0:04:48.543911,
Game ,0124000, reward ,-1.0, corr ,4.869, games_won ,[107.   0.   0.   0.], total ,-101.9,  Time ,0:04:55.416172,
Game ,0126000, reward ,-1.0, corr ,4.997, games_won ,[95.  0.  0.  0.], total ,-100.95,  Time ,0:05:02.401098,
Game ,0128000, reward ,-1.0, corr ,5.191, games_won ,[85.  0.  0.  0.], total ,-101.05,  Time ,0:05:09.731520,
Game ,0130000, reward ,-1.0, corr ,5.054, games_won ,[106.   0.   0.   0.], total ,-101.65,  Time ,0:05:16.925520,
Game ,0132000, reward ,-1.0, corr ,4.898, games_won ,[116.   0.   0.   0.], total ,-103.0,  Time ,0:05:23.762039,
Game ,0134000, reward ,-1.0, corr ,4.914, games_won ,[125.   0.   0.   0.], total ,-102.15,  Time ,0:05:30.677831,
Game ,0136000, reward ,-1.0, corr , 5.3, games_won ,[84.  0.  0.  0.], total ,-101.9,  Time ,0:05:38.321867,
Game ,0138000, reward ,-1.0, corr ,5.314, games_won ,[94.  0.  0.  0.], total ,-101.65,  Time ,0:05:45.763295,
