Game ,0126000, reward per game in 0 g. ,0.0, corr_moves ,1.443,  Time ,0:19:31.027974,
Game ,0128000, reward per game in 1 g. ,-19.0, corr_moves ,1.461,  Time ,0:19:55.289752,
Game ,0130000, reward per game in 2 g. ,2.5, corr_moves ,1.525,  Time ,0:20:19.701685,
Game ,0132000, reward per game in 1 g. ,0.0, corr_moves ,1.548,  Time ,0:20:43.759231,
Game ,0134000, reward per game in 3 g. ,0.0, corr_moves ,1.546,  Time ,0:21:08.017289,
Game ,0136000, reward per game in 4 g. ,-0.25, corr_moves ,1.58,  Time ,0:21:32.792490,
Game ,0138000, reward per game in 4 g. ,-2.75, corr_moves ,1.64,  Time ,0:21:58.166438,
Game ,0140000, reward per game in 4 g. ,2.0, corr_moves ,1.618,  Time ,0:22:23.328635,
Game ,0142000, reward per game in 4 g. ,-6.5, corr_moves ,1.705,  Time ,0:22:48.224208,
Game ,0144000, reward per game in 1 g. ,-3.0, corr_moves ,1.747,  Time ,0:23:13.523167,
Game ,0146000, reward per game in 6 g. ,-1.5, corr_moves ,1.707,  Time ,0:23:38.912478,
Game ,0148000, reward per game in 1 g. ,0.0, corr_moves ,1.787,  Time ,0:24:04.978884,
Game ,0150000, reward per game in 3 g. ,0.0, corr_moves ,1.833,  Time ,0:24:30.620850,
Game ,0152000, reward per game in 7 g. ,-3.0, corr_moves ,1.843,  Time ,0:24:56.564573,
Game ,0154000, reward per game in 4 g. ,-3.5, corr_moves ,1.783,  Time ,0:25:23.070338,
Game ,0156000, reward per game in 6 g. ,-2.6667, corr_moves ,1.794,  Time ,0:25:49.325166,
Game ,0158000, reward per game in 6 g. ,-1.3333, corr_moves , 1.8,  Time ,0:26:15.363052,
Game ,0160000, reward per game in 6 g. ,0.16667, corr_moves ,1.856,  Time ,0:26:41.769932,
Game ,0162000, reward per game in 7 g. ,-0.42857, corr_moves ,1.863,  Time ,0:27:08.057227,
Game ,0164000, reward per game in 9 g. ,-1.5556, corr_moves ,1.924,  Time ,0:27:35.063180,
Game ,0166000, reward per game in 5 g. ,0.2, corr_moves ,1.878,  Time ,0:28:02.696167,
Game ,0168000, reward per game in 10 g. ,-0.3, corr_moves ,1.864,  Time ,0:28:29.688302,
Game ,0170000, reward per game in 6 g. ,-0.66667, corr_moves ,1.956,  Time ,0:28:57.397475,
Game ,0172000, reward per game in 12 g. ,-4.0833, corr_moves ,1.935,  Time ,0:29:25.019277,
Game ,0174000, reward per game in 8 g. ,-1.0, corr_moves ,1.88,  Time ,0:29:52.712484,
Game ,0176000, reward per game in 14 g. ,-0.78571, corr_moves ,1.968,  Time ,0:30:20.349447,
Game ,0178000, reward per game in 6 g. ,-2.8333, corr_moves ,1.987,  Time ,0:30:48.439463,
Game ,0180000, reward per game in 12 g. ,-3.6667, corr_moves ,1.993,  Time ,0:31:16.819485,
Game ,0182000, reward per game in 6 g. ,0.66667, corr_moves ,2.001,  Time ,0:31:45.100198,
Game ,0184000, reward per game in 12 g. ,-0.91667, corr_moves ,2.031,  Time ,0:32:12.902391,
Game ,0186000, reward per game in 14 g. ,-1.6429, corr_moves ,2.002,  Time ,0:32:40.670928,
Game ,0188000, reward per game in 9 g. ,-1.7778, corr_moves ,2.013,  Time ,0:33:09.250929,
Game ,0190000, reward per game in 17 g. ,-0.29412, corr_moves ,2.044,  Time ,0:33:37.647834,
Game ,0192000, reward per game in 12 g. ,-2.5833, corr_moves ,2.053,  Time ,0:34:05.858192,
Game ,0194000, reward per game in 15 g. ,-2.8667, corr_moves ,2.047,  Time ,0:34:34.026732,
Game ,0196000, reward per game in 16 g. ,-3.6875, corr_moves ,2.038,  Time ,0:35:02.054256,
Game ,0198000, reward per game in 12 g. ,-1.25, corr_moves ,2.047,  Time ,0:35:30.700443,
Game ,0200000, reward per game in 14 g. ,0.071429, corr_moves ,2.033,  Time ,0:35:59.277742,
Game ,0202000, reward per game in 13 g. ,-0.15385, corr_moves ,2.052,  Time ,0:36:28.277702,
Game ,0204000, reward per game in 10 g. ,-1.8, corr_moves ,2.074,  Time ,0:36:56.882616,
Game ,0206000, reward per game in 14 g. ,-1.1429, corr_moves ,2.07,  Time ,0:37:25.846996,
Game ,0208000, reward per game in 14 g. ,-1.1429, corr_moves ,2.106,  Time ,0:37:54.473625,
Game ,0210000, reward per game in 14 g. ,-1.2143, corr_moves ,2.079,  Time ,0:38:23.548762,
Game ,0212000, reward per game in 7 g. ,-0.14286, corr_moves ,2.115,  Time ,0:38:52.771831,
Game ,0214000, reward per game in 19 g. ,-0.89474, corr_moves ,2.146,  Time ,0:39:21.431168,
Game ,0216000, reward per game in 18 g. ,-0.27778, corr_moves ,2.154,  Time ,0:39:50.517798,
Game ,0218000, reward per game in 16 g. ,-0.125, corr_moves ,2.109,  Time ,0:40:19.388135,
Game ,0220000, reward per game in 22 g. ,-0.22727, corr_moves ,2.108,  Time ,0:40:48.688956,
Game ,0222000, reward per game in 11 g. ,0.18182, corr_moves ,2.128,  Time ,0:41:18.407152,
Game ,0224000, reward per game in 10 g. ,1.0, corr_moves ,2.09,  Time ,0:41:47.422017,
Game ,0226000, reward per game in 17 g. ,-0.41176, corr_moves ,2.123,  Time ,0:42:16.764380,
Game ,0228000, reward per game in 12 g. ,0.0, corr_moves ,2.112,  Time ,0:42:46.240982,
Game ,0230000, reward per game in 13 g. ,-1.4615, corr_moves ,2.159,  Time ,0:43:16.322396,
Game ,0232000, reward per game in 11 g. ,-0.45455, corr_moves ,2.106,  Time ,0:43:46.479235,
Game ,0234000, reward per game in 11 g. ,-1.3636, corr_moves ,2.119,  Time ,0:44:16.906906,
Game ,0236000, reward per game in 19 g. ,-0.052632, corr_moves ,2.178,  Time ,0:44:46.737813,
Game ,0238000, reward per game in 16 g. ,-0.375, corr_moves ,2.174,  Time ,0:45:16.115244,
Game ,0240000, reward per game in 15 g. ,-1.5333, corr_moves ,2.133,  Time ,0:45:45.527697,
