Game ,0108000, rew ,-6.2495, inv_mo ,0.001, won ,[68. 43. 69. 59.],  Time ,0:37:45.069740,
Game ,0110000, rew ,-6.1745, inv_mo ,0.0015, won ,[62. 50. 62. 66.],  Time ,0:38:28.455955,
Game ,0112000, rew ,-6.5265, inv_mo ,0.003, won ,[68. 41. 72. 55.],  Time ,0:39:11.704072,
Game ,0114000, rew ,-6.4725, inv_mo ,0.0035, won ,[55. 50. 67. 64.],  Time ,0:39:55.297833,
Game ,0116000, rew ,-6.112, inv_mo ,0.0015, won ,[62. 54. 70. 54.],  Time ,0:40:38.660139,
Game ,0118000, rew ,-6.8325, inv_mo ,0.002, won ,[56. 36. 66. 87.],  Time ,0:41:21.744453,
Game ,0120000, rew ,-6.055, inv_mo ,0.0015, won ,[62. 49. 58. 67.],  Time ,0:42:04.564405,
Game ,0122000, rew ,-6.3055, inv_mo ,0.002, won ,[66. 49. 66. 57.],  Time ,0:42:48.461716,
Game ,0124000, rew ,-6.1625, inv_mo ,0.0015, won ,[57. 50. 66. 60.],  Time ,0:43:31.041779,
Game ,0126000, rew ,-6.5245, inv_mo ,0.002, won ,[62. 41. 63. 71.],  Time ,0:44:13.717854,
Game ,0128000, rew ,-6.379, inv_mo ,0.0035, won ,[64. 53. 60. 62.],  Time ,0:44:56.074749,
Game ,0130000, rew ,-6.9855, inv_mo ,0.0035, won ,[71. 38. 70. 60.],  Time ,0:45:38.566737,
Game ,0132000, rew ,-6.029, inv_mo ,0.0015, won ,[67. 60. 60. 55.],  Time ,0:46:21.052967,
Game ,0134000, rew ,-6.285, inv_mo ,0.002, won ,[59. 50. 60. 65.],  Time ,0:47:03.590469,
Game ,0136000, rew ,-6.0, inv_mo ,0.002, won ,[57. 52. 63. 65.],  Time ,0:47:46.124104,
Game ,0138000, rew ,-6.4785, inv_mo ,0.003, won ,[69. 56. 49. 64.],  Time ,0:48:30.342801,
Game ,0140000, rew ,-5.7495, inv_mo ,0.001, won ,[61. 50. 64. 67.],  Time ,0:49:14.500829,
Game ,0142000, rew ,-5.9135, inv_mo ,0.001, won ,[65. 52. 65. 51.],  Time ,0:49:57.880373,
Game ,0144000, rew ,-6.253, inv_mo ,0.0015, won ,[75. 44. 61. 62.],  Time ,0:50:40.911907,
Game ,0146000, rew ,-6.6185, inv_mo ,0.0035, won ,[71. 47. 67. 59.],  Time ,0:51:23.641692,
Game ,0148000, rew ,-6.4115, inv_mo ,0.0025, won ,[67. 34. 65. 71.],  Time ,0:52:06.382940,
Game ,0150000, rew ,-6.7505, inv_mo ,0.0035, won ,[67. 44. 73. 57.],  Time ,0:52:49.010141,
Game ,0152000, rew ,-6.5475, inv_mo ,0.003, won ,[72. 46. 59. 60.],  Time ,0:53:31.710425,
Game ,0154000, rew ,-6.8195, inv_mo ,0.004, won ,[74. 40. 65. 62.],  Time ,0:54:14.453863,
Game ,0156000, rew ,-6.2605, inv_mo ,0.0035, won ,[68. 43. 57. 70.],  Time ,0:54:57.231023,
Game ,0158000, rew ,-6.4285, inv_mo ,0.002, won ,[69. 36. 67. 70.],  Time ,0:55:40.840250,
Game ,0160000, rew ,-6.0525, inv_mo ,0.0015, won ,[76. 52. 58. 52.],  Time ,0:56:24.196312,
Game ,0162000, rew ,-6.337, inv_mo ,0.001, won ,[63. 43. 57. 78.],  Time ,0:57:07.624177,
Game ,0164000, rew ,-6.0605, inv_mo ,0.0015, won ,[62. 47. 63. 68.],  Time ,0:57:50.689710,
Game ,0166000, rew ,-6.648, inv_mo ,0.0035, won ,[61. 59. 67. 54.],  Time ,0:58:34.159141,
Game ,0168000, rew ,-6.4205, inv_mo ,0.003, won ,[67. 42. 60. 70.],  Time ,0:59:17.461372,
Game ,0170000, rew ,-6.5745, inv_mo ,0.0025, won ,[79. 32. 73. 58.],  Time ,1:00:00.969244,
Game ,0172000, rew ,-7.0815, inv_mo ,0.004, won ,[71. 39. 69. 60.],  Time ,1:00:44.566578,
Game ,0174000, rew ,-6.774, inv_mo ,0.004, won ,[59. 45. 72. 68.],  Time ,1:01:28.099327,
Game ,0176000, rew ,-6.1625, inv_mo ,0.002, won ,[71. 44. 60. 62.],  Time ,1:02:10.819641,
Game ,0178000, rew ,-6.7735, inv_mo ,0.003, won ,[71. 47. 58. 69.],  Time ,1:02:54.245981,
Game ,0180000, rew ,-6.732, inv_mo ,0.002, won ,[58. 49. 69. 67.],  Time ,1:03:38.611453,
Game ,0182000, rew ,-6.532, inv_mo ,0.0015, won ,[71. 32. 72. 64.],  Time ,1:04:21.510558,
Game ,0184000, rew ,-5.499, inv_mo , 0.0, won ,[60. 62. 62. 59.],  Time ,1:05:04.975148,
Game ,0186000, rew ,-6.361, inv_mo ,0.002, won ,[66. 40. 74. 61.],  Time ,1:05:47.883589,
Game ,0188000, rew ,-6.52, inv_mo ,0.0025, won ,[61. 46. 67. 65.],  Time ,1:06:30.894903,
Game ,0190000, rew ,-6.619, inv_mo ,0.0035, won ,[57. 48. 60. 71.],  Time ,1:07:13.689457,
Game ,0192000, rew ,-6.6225, inv_mo ,0.002, won ,[69. 45. 70. 63.],  Time ,1:07:56.659896,
Game ,0194000, rew ,-6.567, inv_mo ,0.003, won ,[60. 43. 61. 77.],  Time ,1:08:39.481884,
Game ,0196000, rew ,-6.8845, inv_mo ,0.0035, won ,[59. 40. 67. 72.],  Time ,1:09:23.602785,
Game ,0198000, rew ,-6.2055, inv_mo ,0.001, won ,[56. 39. 72. 76.],  Time ,1:10:07.129383,
Game ,0200000, rew ,-6.537, inv_mo ,0.0025, won ,[63. 46. 63. 64.],  Time ,1:10:51.263018,
Game ,0202000, rew ,-6.7155, inv_mo ,0.0025, won ,[80. 43. 62. 56.],  Time ,1:11:35.164987,
Game ,0204000, rew ,-6.74, inv_mo ,0.0045, won ,[62. 63. 56. 54.],  Time ,1:12:19.296698,
Game ,0206000, rew ,-6.4495, inv_mo ,0.0035, won ,[68. 42. 68. 57.],  Time ,1:13:02.300628,
Game ,0208000, rew ,-6.075, inv_mo ,0.0015, won ,[66. 49. 61. 63.],  Time ,1:13:45.773182,
Game ,0210000, rew ,-6.7175, inv_mo ,0.002, won ,[63. 37. 69. 68.],  Time ,1:14:29.775256,
Game ,0212000, rew ,-6.355, inv_mo ,0.003, won ,[62. 53. 62. 64.],  Time ,1:15:13.786887,
Game ,0214000, rew ,-6.7375, inv_mo ,0.0035, won ,[84. 46. 59. 48.],  Time ,1:15:57.825672,
Game ,0216000, rew ,-6.298, inv_mo ,0.0025, won ,[72. 53. 57. 64.],  Time ,1:16:41.489182,
Game ,0218000, rew ,-5.6825, inv_mo ,0.0005, won ,[53. 59. 65. 65.],  Time ,1:17:24.496574,
Game ,0220000, rew ,-6.543, inv_mo ,0.003, won ,[62. 47. 70. 60.],  Time ,1:18:07.130010,
Game ,0222000, rew ,-6.3605, inv_mo ,0.001, won ,[79. 37. 79. 44.],  Time ,1:18:49.948353,
Game ,0224000, rew ,-6.6785, inv_mo ,0.003, won ,[54. 46. 69. 63.],  Time ,1:19:33.349178,
Game ,0226000, rew ,-6.2245, inv_mo ,0.001, won ,[75. 37. 70. 58.],  Time ,1:20:16.809776,
Game ,0228000, rew ,-6.674, inv_mo ,0.003, won ,[76. 44. 71. 44.],  Time ,1:21:00.173287,
Game ,0230000, rew ,-6.129, inv_mo ,0.001, won ,[81. 40. 66. 64.],  Time ,1:21:43.659695,
Game ,0232000, rew ,-6.13, inv_mo ,0.0015, won ,[60. 51. 73. 52.],  Time ,1:22:27.735984,
Game ,0234000, rew ,-6.3005, inv_mo ,0.002, won ,[73. 38. 74. 61.],  Time ,1:23:11.619509,
Game ,0236000, rew ,-6.5875, inv_mo ,0.0025, won ,[77. 45. 62. 61.],  Time ,1:23:55.789025,
Game ,0238000, rew ,-6.222, inv_mo ,0.0015, won ,[65. 48. 60. 65.],  Time ,1:24:39.977148,
Game ,0240000, rew ,-6.6765, inv_mo ,0.0035, won ,[66. 54. 61. 63.],  Time ,1:25:24.055042,
Game ,0242000, rew ,-6.007, inv_mo ,0.001, won ,[63. 49. 60. 76.],  Time ,1:26:07.422273,
Game ,0244000, rew ,-6.575, inv_mo ,0.0035, won ,[61. 51. 66. 58.],  Time ,1:26:50.901031,
Game ,0246000, rew ,-6.4965, inv_mo ,0.003, won ,[79. 46. 55. 63.],  Time ,1:27:34.753420,
Game ,0248000, rew ,-6.7455, inv_mo ,0.0025, won ,[61. 47. 63. 70.],  Time ,1:28:18.993401,
Game ,0250000, rew ,-6.2875, inv_mo ,0.0015, won ,[69. 37. 60. 75.],  Time ,1:29:02.648321,
Game ,0252000, rew ,-6.787, inv_mo ,0.003, won ,[67. 46. 64. 58.],  Time ,1:29:46.332735,
