Game ,0122000, reward per game in 4500 g. ,-1.176, corr_moves ,5.992,  Time ,0:25:06.209518,
Game ,0124000, reward per game in 4500 g. ,-1.2118, corr_moves ,5.993,  Time ,0:25:31.320511,
Game ,0126000, reward per game in 4500 g. ,-1.2598, corr_moves ,5.989,  Time ,0:25:56.340773,
Game ,0128000, reward per game in 4500 g. ,-1.1024, corr_moves ,5.991,  Time ,0:26:21.448007,
Game ,0130000, reward per game in 4500 g. ,-1.2013, corr_moves ,5.985,  Time ,0:26:46.741311,
Game ,0132000, reward per game in 4500 g. ,-1.2656, corr_moves ,5.993,  Time ,0:27:12.037363,
Game ,0134000, reward per game in 4500 g. ,-1.2251, corr_moves ,5.99,  Time ,0:27:37.454134,
Game ,0136000, reward per game in 4500 g. ,-1.2587, corr_moves ,5.989,  Time ,0:28:02.584050,
Game ,0138000, reward per game in 4500 g. ,-1.1733, corr_moves ,5.991,  Time ,0:28:27.234919,
Game ,0140000, reward per game in 4500 g. ,-1.2027, corr_moves ,5.99,  Time ,0:28:52.227245,
Game ,0142000, reward per game in 4500 g. ,-1.1567, corr_moves ,5.982,  Time ,0:29:17.533629,
Game ,0144000, reward per game in 4500 g. ,-1.1864, corr_moves ,5.987,  Time ,0:29:43.053741,
Game ,0146000, reward per game in 4500 g. ,-1.1664, corr_moves ,5.996,  Time ,0:30:08.727241,
Game ,0148000, reward per game in 4500 g. ,-1.1473, corr_moves ,5.99,  Time ,0:30:33.633279,
Game ,0150000, reward per game in 4500 g. ,-1.1407, corr_moves ,5.992,  Time ,0:30:58.685724,
Game ,0152000, reward per game in 4500 g. ,-1.1433, corr_moves ,5.997,  Time ,0:31:24.037664,
Game ,0154000, reward per game in 4500 g. ,-1.2878, corr_moves ,5.991,  Time ,0:31:49.358314,
Game ,0156000, reward per game in 4500 g. ,-1.2613, corr_moves ,5.989,  Time ,0:32:14.434274,
Game ,0158000, reward per game in 4500 g. ,-1.1429, corr_moves ,5.988,  Time ,0:32:39.624524,
Game ,0160000, reward per game in 4500 g. ,-1.2167, corr_moves ,5.991,  Time ,0:33:05.087074,
Game ,0162000, reward per game in 4500 g. ,-1.1022, corr_moves ,5.993,  Time ,0:33:30.606011,
Game ,0164000, reward per game in 4500 g. ,-1.1793, corr_moves ,5.992,  Time ,0:33:55.756560,
Game ,0166000, reward per game in 4500 g. ,-1.1333, corr_moves ,5.992,  Time ,0:34:20.710671,
Game ,0168000, reward per game in 4500 g. ,-1.2969, corr_moves ,5.991,  Time ,0:34:45.804799,
