Game ,0124000, reward per game in 1179 g. ,-1.542, corr_moves ,4.088,  Time ,0:13:32.276193,
Game ,0126000, reward per game in 1168 g. ,-1.6533, corr_moves ,4.094,  Time ,0:13:48.346347,
Game ,0128000, reward per game in 1225 g. ,-1.7682, corr_moves ,4.14,  Time ,0:14:04.713793,
Game ,0130000, reward per game in 1218 g. ,-1.7389, corr_moves ,4.116,  Time ,0:14:21.155214,
Game ,0132000, reward per game in 1258 g. ,-1.7114, corr_moves ,4.157,  Time ,0:14:37.614029,
Game ,0134000, reward per game in 1265 g. ,-1.5818, corr_moves ,4.14,  Time ,0:14:54.278468,
Game ,0136000, reward per game in 1322 g. ,-1.4259, corr_moves ,4.175,  Time ,0:15:10.967748,
Game ,0138000, reward per game in 1364 g. ,-1.5521, corr_moves ,4.241,  Time ,0:15:27.508123,
Game ,0140000, reward per game in 1319 g. ,-1.5906, corr_moves ,4.167,  Time ,0:15:44.017328,
Game ,0142000, reward per game in 1356 g. ,-1.573, corr_moves ,4.222,  Time ,0:16:00.672094,
Game ,0144000, reward per game in 1368 g. ,-1.712, corr_moves ,4.231,  Time ,0:16:17.156443,
Game ,0146000, reward per game in 1376 g. ,-1.4658, corr_moves ,4.247,  Time ,0:16:33.702480,
Game ,0148000, reward per game in 1478 g. ,-1.6367, corr_moves ,4.318,  Time ,0:16:50.947345,
Game ,0150000, reward per game in 1439 g. ,-1.5184, corr_moves ,4.294,  Time ,0:17:08.282966,
Game ,0152000, reward per game in 1482 g. ,-1.608, corr_moves ,4.302,  Time ,0:17:25.458904,
Game ,0154000, reward per game in 1520 g. ,-1.625, corr_moves ,4.306,  Time ,0:17:42.674038,
Game ,0156000, reward per game in 1417 g. ,-1.4912, corr_moves ,4.323,  Time ,0:17:59.676746,
Game ,0158000, reward per game in 1470 g. ,-1.6537, corr_moves ,4.304,  Time ,0:18:16.617453,
Game ,0160000, reward per game in 1510 g. ,-1.6801, corr_moves ,4.372,  Time ,0:18:33.798069,
Game ,0162000, reward per game in 1502 g. ,-1.476, corr_moves ,4.355,  Time ,0:18:51.162365,
Game ,0164000, reward per game in 1494 g. ,-1.8755, corr_moves ,4.305,  Time ,0:19:08.318193,
Game ,0166000, reward per game in 1567 g. ,-1.9132, corr_moves ,4.379,  Time ,0:19:25.646742,
Game ,0168000, reward per game in 1583 g. ,-1.7018, corr_moves ,4.367,  Time ,0:19:43.445369,
Game ,0170000, reward per game in 1641 g. ,-1.6301, corr_moves ,4.405,  Time ,0:20:00.865209,
Game ,0172000, reward per game in 1630 g. ,-1.8031, corr_moves ,4.382,  Time ,0:20:18.324486,
Game ,0174000, reward per game in 1640 g. ,-1.4866, corr_moves ,4.432,  Time ,0:20:36.012232,
Game ,0176000, reward per game in 1647 g. ,-1.7693, corr_moves ,4.419,  Time ,0:20:53.290047,
Game ,0178000, reward per game in 1706 g. ,-1.609, corr_moves ,4.464,  Time ,0:21:11.024814,
Game ,0180000, reward per game in 1690 g. ,-1.6675, corr_moves ,4.47,  Time ,0:21:28.698890,
Game ,0182000, reward per game in 1662 g. ,-1.5174, corr_moves ,4.427,  Time ,0:21:46.192421,
Game ,0184000, reward per game in 1708 g. ,-1.8999, corr_moves ,4.458,  Time ,0:22:03.633393,
Game ,0186000, reward per game in 1757 g. ,-1.6585, corr_moves ,4.476,  Time ,0:22:21.261738,
Game ,0188000, reward per game in 1792 g. ,-1.4754, corr_moves ,4.51,  Time ,0:22:39.116828,
Game ,0190000, reward per game in 1740 g. ,-1.7534, corr_moves ,4.463,  Time ,0:22:56.899089,
Game ,0192000, reward per game in 1781 g. ,-1.6277, corr_moves ,4.513,  Time ,0:23:14.561129,
Game ,0194000, reward per game in 1854 g. ,-1.6138, corr_moves ,4.51,  Time ,0:23:32.175817,
Game ,0196000, reward per game in 1771 g. ,-1.5336, corr_moves ,4.468,  Time ,0:23:49.959027,
Game ,0198000, reward per game in 1805 g. ,-1.5917, corr_moves ,4.522,  Time ,0:24:07.623413,
Game ,0200000, reward per game in 1819 g. ,-1.6328, corr_moves ,4.536,  Time ,0:24:25.572998,
Game ,0202000, reward per game in 1887 g. ,-1.708, corr_moves ,4.544,  Time ,0:24:43.490627,
