Game ,0122000, reward per game in 4500 g. ,-1.3809, corr_moves ,5.98,  Time ,0:25:45.148812,
Game ,0124000, reward per game in 4500 g. ,-1.3664, corr_moves ,5.988,  Time ,0:26:10.454848,
Game ,0126000, reward per game in 4500 g. ,-1.4964, corr_moves ,5.985,  Time ,0:26:36.019048,
Game ,0128000, reward per game in 4500 g. ,-1.4536, corr_moves ,5.982,  Time ,0:27:01.708136,
Game ,0130000, reward per game in 4500 g. ,-1.4482, corr_moves ,5.997,  Time ,0:27:27.180805,
Game ,0132000, reward per game in 4500 g. ,-1.4613, corr_moves ,5.987,  Time ,0:27:52.544623,
Game ,0134000, reward per game in 4500 g. ,-1.4631, corr_moves ,5.992,  Time ,0:28:17.921624,
Game ,0136000, reward per game in 4500 g. ,-1.51, corr_moves ,5.989,  Time ,0:28:43.385330,
Game ,0138000, reward per game in 4500 g. ,-1.3973, corr_moves ,5.986,  Time ,0:29:08.730085,
Game ,0140000, reward per game in 4500 g. ,-1.362, corr_moves ,5.99,  Time ,0:29:34.144511,
Game ,0142000, reward per game in 4500 g. ,-1.4329, corr_moves ,5.992,  Time ,0:29:59.552144,
Game ,0144000, reward per game in 4500 g. ,-1.3851, corr_moves ,5.983,  Time ,0:30:25.262242,
Game ,0146000, reward per game in 4500 g. ,-1.4207, corr_moves ,5.988,  Time ,0:30:50.953620,
Game ,0148000, reward per game in 4500 g. ,-1.3471, corr_moves ,5.983,  Time ,0:31:16.134588,
Game ,0150000, reward per game in 4500 g. ,-1.39, corr_moves ,5.984,  Time ,0:31:41.287530,
Game ,0152000, reward per game in 4500 g. ,-1.4453, corr_moves ,5.988,  Time ,0:32:06.464455,
Game ,0154000, reward per game in 4500 g. ,-1.4562, corr_moves ,5.984,  Time ,0:32:31.566622,
Game ,0156000, reward per game in 4500 g. ,-1.4316, corr_moves ,5.988,  Time ,0:32:57.129552,
Game ,0158000, reward per game in 4500 g. ,-1.3598, corr_moves ,5.988,  Time ,0:33:22.549821,
Game ,0160000, reward per game in 4500 g. ,-1.5696, corr_moves ,5.989,  Time ,0:33:47.653551,
Game ,0162000, reward per game in 4500 g. ,-1.3333, corr_moves ,5.986,  Time ,0:34:12.617866,
Game ,0164000, reward per game in 4500 g. ,-1.3924, corr_moves ,5.991,  Time ,0:34:37.527261,
Game ,0166000, reward per game in 4500 g. ,-1.4058, corr_moves ,5.991,  Time ,0:35:02.446797,
Game ,0168000, reward per game in 4500 g. ,-1.4473, corr_moves ,5.985,  Time ,0:35:27.349958,
Game ,0170000, reward per game in 4500 g. ,-1.2669, corr_moves ,5.989,  Time ,0:35:52.600233,
Game ,0172000, reward per game in 4500 g. ,-1.3787, corr_moves ,5.991,  Time ,0:36:18.094139,
Game ,0174000, reward per game in 4500 g. ,-1.3233, corr_moves ,5.991,  Time ,0:36:43.096464,
Game ,0176000, reward per game in 4500 g. ,-1.4173, corr_moves ,5.991,  Time ,0:37:08.122767,
Game ,0178000, reward per game in 4500 g. ,-1.3262, corr_moves ,5.992,  Time ,0:37:33.146288,
Game ,0180000, reward per game in 4500 g. ,-1.3416, corr_moves ,5.996,  Time ,0:37:58.510737,
Game ,0182000, reward per game in 4500 g. ,-1.3567, corr_moves ,5.995,  Time ,0:38:24.006411,
Game ,0184000, reward per game in 4500 g. ,-1.3004, corr_moves ,5.988,  Time ,0:38:49.191561,
Game ,0186000, reward per game in 4500 g. ,-1.3613, corr_moves ,5.987,  Time ,0:39:14.161498,
Game ,0188000, reward per game in 4500 g. ,-1.4276, corr_moves ,5.986,  Time ,0:39:39.087873,
