Game ,5408000, mean_rew of 3934 finished g. ,-0.69192, of random ,-2.436, corr_moves[max:10] ,9.019, mean_rew ,-21.9,   0:26:44.714741,playing t=22.55, lr=[0.008], batch=172692
Game ,5581100, mean_rew of 3922 finished g. ,-0.71494, of random ,-2.4284, corr_moves[max:10] ,9.018, mean_rew ,-22.1,   0:27:38.206861,playing t=21.69, lr=[0.008], batch=173080
Game ,5754600, mean_rew of 3925 finished g. ,-0.6693, of random ,-2.4436, corr_moves[max:10] ,9.03, mean_rew ,-22.0,   0:28:33.769377,playing t=22.0, lr=[0.008], batch=173479
Game ,5928500, mean_rew of 3907 finished g. ,-0.70386, of random ,-2.432, corr_moves[max:10] ,9.035, mean_rew ,-22.4,   0:29:27.125996,playing t=21.85, lr=[0.008], batch=173873
Game ,6102800, mean_rew of 3987 finished g. ,-0.66993, of random ,-2.4434, corr_moves[max:10] ,9.075, mean_rew ,-20.8,   0:30:21.311281,playing t=22.89, lr=[0.008], batch=174290
Game ,6277500, mean_rew of 3981 finished g. ,-0.68576, of random ,-2.4381, corr_moves[max:10] ,9.083, mean_rew ,-20.9,   0:31:15.924140,playing t=22.24, lr=[0.008], batch=174686
Game ,6452600, mean_rew of 3980 finished g. ,-0.66281, of random ,-2.4457, corr_moves[max:10] ,9.067, mean_rew ,-20.9,   0:32:10.251886,playing t=21.7, lr=[0.008], batch=175075
Game ,6628100, mean_rew of 3975 finished g. ,-0.67321, of random ,-2.4423, corr_moves[max:10] ,9.082, mean_rew ,-21.0,   0:33:04.567335,playing t=22.03, lr=[0.008], batch=175469
Game ,6804000, mean_rew of 3947 finished g. ,-0.65518, of random ,-2.4483, corr_moves[max:10] ,9.058, mean_rew ,-21.6,   0:33:59.868739,playing t=23.01, lr=[0.008], batch=175896
Game ,6980300, mean_rew of 4012 finished g. ,-0.64207, of random ,-2.4526, corr_moves[max:10] ,9.108, mean_rew ,-20.3,   0:34:53.802685,playing t=23.12, lr=[0.008], batch=176275
Game ,7157000, mean_rew of 4013 finished g. ,-0.63992, of random ,-2.4534, corr_moves[max:10] ,9.108, mean_rew ,-20.3,   0:35:46.611930,playing t=21.44, lr=[0.008], batch=176684
Game ,7334100, mean_rew of 3942 finished g. ,-0.68366, of random ,-2.4388, corr_moves[max:10] ,9.012, mean_rew ,-21.7,   0:36:39.739616,playing t=21.6, lr=[0.008], batch=177071
Game ,7511600, mean_rew of 3971 finished g. ,-0.6487, of random ,-2.4504, corr_moves[max:10] ,9.077, mean_rew ,-21.1,   0:37:32.422224,playing t=22.12, lr=[0.008], batch=177480
Game ,7689500, mean_rew of 4008 finished g. ,-0.64496, of random ,-2.4517, corr_moves[max:10] , 9.1, mean_rew ,-20.4,   0:38:26.159022,playing t=22.08, lr=[0.008], batch=177881
Game ,7867800, mean_rew of 4052 finished g. ,-0.64487, of random ,-2.4517, corr_moves[max:10] ,9.14, mean_rew ,-19.5,   0:39:19.434422,playing t=21.86, lr=[0.008], batch=178280
Game ,8046500, mean_rew of 4015 finished g. ,-0.62192, of random ,-2.4594, corr_moves[max:10] ,9.102, mean_rew ,-20.2,   0:40:12.885884,playing t=22.03, lr=[0.008], batch=178698
Game ,8225600, mean_rew of 4029 finished g. ,-0.68752, of random ,-2.4375, corr_moves[max:10] ,9.119, mean_rew ,-20.0,   0:41:06.332927,playing t=21.78, lr=[0.008], batch=179084
Game ,8405100, mean_rew of 3997 finished g. ,-0.666, of random ,-2.4447, corr_moves[max:10] ,9.057, mean_rew ,-20.6,   0:42:02.485096,playing t=22.61, lr=[0.008], batch=179500
